cid,g,a,d,i,cl
B,M,5,2,8,0
B,M,5,4,90,0
B,M,5,5,86,1
B,M,5,6,108,0
B,M,5,7,84,0
B,M,5,8,32,0
B,M,5,9,99,1
B,M,5,10,106,1
B,M,5,11,137,0
B,M,5,12,146,2
B,M,5,13,174,2
B,M,5,14,192,1
B,M,5,15,142,0
B,M,5,16,145,1
B,M,5,17,219,0
B,M,5,18,267,1
B,M,5,19,302,2
B,M,5,20,339,0
B,M,5,21,145,0
B,M,5,22,268,3
B,M,5,23,138,0
B,M,5,24,168,2
B,M,5,25,190,0
B,M,5,26,197,1
B,M,5,27,133,0
B,M,5,28,110,0
B,M,5,29,127,0
B,M,5,30,2,0
B,M,6,1,73,0
B,M,6,2,15,0
B,M,6,4,181,3
B,M,6,5,139,1
B,M,6,6,182,3
B,M,6,7,151,2
B,M,6,8,57,0
B,M,6,9,178,1
B,M,6,10,186,3
B,M,6,11,310,3
B,M,6,12,216,4
B,M,6,13,306,4
B,M,6,14,341,1
B,M,6,15,286,2
B,M,6,16,280,2
B,M,6,17,355,3
B,M,6,18,443,4
B,M,6,19,568,2
B,M,6,20,639,2
B,M,6,21,249,0
B,M,6,22,454,0
B,M,6,23,294,2
B,M,6,24,349,3
B,M,6,25,323,4
B,M,6,26,356,2
B,M,6,27,280,2
B,M,6,28,190,2
B,M,6,29,179,1
B,M,U,1,139,0
B,M,U,2,24,0
B,M,U,4,306,2
B,M,U,5,285,2
B,M,U,6,366,1
B,M,U,7,340,2
B,M,U,8,120,0
B,M,U,9,366,1
B,M,U,10,381,3
B,M,U,11,638,5
B,M,U,12,514,2
B,M,U,13,574,4
B,M,U,14,702,4
B,M,U,15,622,6
B,M,U,16,539,1
B,M,U,17,789,6
B,M,U,18,929,1
B,M,U,19,1058,2
B,M,U,20,1257,8
B,M,U,21,505,3
B,M,U,22,914,6
B,M,U,23,580,5
B,M,U,24,658,5
B,M,U,25,654,8
B,M,U,26,769,3
B,M,U,27,548,3
B,M,U,28,396,2
B,M,U,29,410,2
B,M,U,30,4,0
B,U,1,1,30,0
B,U,1,2,9,0
B,U,1,4,87,0
B,U,1,5,94,1
B,U,1,6,103,1
B,U,1,7,91,0
B,U,1,8,41,0
B,U,1,9,116,2
B,U,1,10,123,1
B,U,1,11,181,1
